transaction_id,date,period,customer_id,customer_name,segment,product,channel,region,transaction_type,amount,source_system,invoice_id
REV-202510-C001-01,2025-10-08,2025-10,C001,Northstar Commerce,Enterprise,Platform,Direct,Northeast,Sale,277200,Synthetic ERP,INV-202510-C001A
REV-202510-C001-02,2025-10-21,2025-10,C001,Northstar Commerce,Enterprise,Platform,Direct,Northeast,Sale,118800,Synthetic ERP,INV-202510-C001B
REV-202510-C002-01,2025-10-08,2025-10,C002,Atlas Industrial,Enterprise,Platform,Direct,Midwest,Sale,242550,Synthetic ERP,INV-202510-C002A
REV-202510-C002-02,2025-10-21,2025-10,C002,Atlas Industrial,Enterprise,Platform,Direct,Midwest,Sale,103950,Synthetic ERP,INV-202510-C002B
REV-202510-C003-01,2025-10-08,2025-10,C003,Forma Retail Group,Enterprise,Analytics,Direct,West,Sale,207900,Synthetic ERP,INV-202510-C003A
REV-202510-C003-02,2025-10-21,2025-10,C003,Forma Retail Group,Enterprise,Analytics,Direct,West,Sale,89100,Synthetic ERP,INV-202510-C003B
REV-202510-C004-01,2025-10-08,2025-10,C004,Horizon Outfitters,Enterprise,Platform,Partner,South,Sale,173250,Synthetic ERP,INV-202510-C004A
REV-202510-C004-02,2025-10-21,2025-10,C004,Horizon Outfitters,Enterprise,Platform,Partner,South,Sale,74250,Synthetic ERP,INV-202510-C004B
REV-202510-C005-01,2025-10-08,2025-10,C005,Meridian Markets,Enterprise,Analytics,Direct,Northeast,Sale,138600,Synthetic ERP,INV-202510-C005A
REV-202510-C005-02,2025-10-21,2025-10,C005,Meridian Markets,Enterprise,Analytics,Direct,Northeast,Sale,59400,Synthetic ERP,INV-202510-C005B
REV-202510-C006-01,2025-10-08,2025-10,C006,BluePeak Stores,Enterprise,Services,Partner,West,Sale,115500,Synthetic ERP,INV-202510-C006A
REV-202510-C006-02,2025-10-21,2025-10,C006,BluePeak Stores,Enterprise,Services,Partner,West,Sale,49500,Synthetic ERP,INV-202510-C006B
REV-202510-C101-01,2025-10-08,2025-10,C101,Bright Cart,SMB,Commerce,Partner,South,Sale,115500,Synthetic ERP,INV-202510-C101A
REV-202510-C101-02,2025-10-21,2025-10,C101,Bright Cart,SMB,Commerce,Partner,South,Sale,49500,Synthetic ERP,INV-202510-C101B
REV-202510-C102-01,2025-10-08,2025-10,C102,Urban Shelf,SMB,Commerce,Partner,Northeast,Sale,107800,Synthetic ERP,INV-202510-C102A
REV-202510-C102-02,2025-10-21,2025-10,C102,Urban Shelf,SMB,Commerce,Partner,Northeast,Sale,46200,Synthetic ERP,INV-202510-C102B
REV-202510-C103-01,2025-10-08,2025-10,C103,Market Lane,SMB,Platform,Direct,Midwest,Sale,100100,Synthetic ERP,INV-202510-C103A
REV-202510-C103-02,2025-10-21,2025-10,C103,Market Lane,SMB,Platform,Direct,Midwest,Sale,42900,Synthetic ERP,INV-202510-C103B
REV-202510-C104-01,2025-10-08,2025-10,C104,Juniper Goods,SMB,Commerce,Web,West,Sale,92400,Synthetic ERP,INV-202510-C104A
REV-202510-C104-02,2025-10-21,2025-10,C104,Juniper Goods,SMB,Commerce,Web,West,Sale,39600,Synthetic ERP,INV-202510-C104B
