transaction_id,date,period,account,vendor_id,vendor_name,driver_category,amount,headcount_effect,source_system,invoice_id,description
EXP-202510-COGS-01,2025-10-06,2025-10,COGS,V001,InventoryWorks,Unit volume,1050000,0,Synthetic AP,BILL-202510-V001-1,Inventory purchases
EXP-202510-COGS-02,2025-10-07,2025-10,COGS,V002,SupplyForge,Unit volume,700000,0,Synthetic AP,BILL-202510-V002-2,Inventory purchases
EXP-202510-SOFT-03,2025-10-08,2025-10,Software,V003,NovaERP,Recurring subscription,68250,0,Synthetic AP,BILL-202510-V003-3,ERP platform charge
EXP-202510-SOFT-04,2025-10-09,2025-10,Software,V004,CloudGrid,Usage,63000,0,Synthetic AP,BILL-202510-V004-4,Cloud platform consumption
EXP-202510-SOFT-05,2025-10-10,2025-10,Software,V005,Secura Labs,Recurring subscription,43750,0,Synthetic AP,BILL-202510-V005-5,Security platform subscription
EXP-202510-LOGI-06,2025-10-11,2025-10,Logistics,V006,ParcelPro,Volume,179950,0,Synthetic AP,BILL-202510-V006-6,Standard parcel volume
EXP-202510-LOGI-07,2025-10-12,2025-10,Logistics,V007,FreightLine,Volume,79650,0,Synthetic AP,BILL-202510-V007-7,Standard freight volume
EXP-202510-LOGI-08,2025-10-13,2025-10,Logistics,V008,QuickShip,Expedited shipping,35400,0,Synthetic AP,BILL-202510-V008-8,Expedited deliveries
EXP-202510-PAYR-09,2025-10-14,2025-10,Payroll,V009,Payroll Clearing,Base payroll,880000,0,Synthetic AP,BILL-202510-V009-9,Base salaries
EXP-202510-PAYR-11,2025-10-16,2025-10,Payroll,V010,Tax Authority,Payroll tax,20000,0,Synthetic AP,BILL-202510-V010-11,Employer payroll taxes
EXP-202510-OTHE-14,2025-10-19,2025-10,Other Opex,V013,OfficeWorks,Office and administration,87000,0,Synthetic AP,BILL-202510-V013-14,Office and administration
EXP-202510-OTHE-15,2025-10-20,2025-10,Other Opex,V014,Counsel LLP,Legal,34800,0,Synthetic AP,BILL-202510-V014-15,Legal services
EXP-202510-OTHE-16,2025-10-21,2025-10,Other Opex,V999,Unmapped clearing batch,Unexplained,23200,0,Synthetic AP,BILL-202510-V999-16,Unclassified clearing entry; no supporting memo
EXP-202510-MARK-12,2025-10-17,2025-10,Marketing,V011,AdSphere,Campaigns,168000,0,Synthetic AP,BILL-202510-V011-12,Digital campaigns
EXP-202510-MARK-13,2025-10-18,2025-10,Marketing,V012,Field Events Co,Events,72000,0,Synthetic AP,BILL-202510-V012-13,Events and field marketing
